season,location,description
late summer/fall,sun,Aster laevis Smooth Aster Upright (1-4') Moist to dry; Sun/Part Sun Large blue flowers; Neat habit; Not floppy
late summer/fall,sun,Aster novae-angliae New England Aster Upright (3-6') Moist; Sun/Part sun Royal purple flowers
late summer/fall,sun,Aster oblongifolius Aromatic Aster Upright (3-4') Average to dry; Sun/part sun One of the latest and most showy asters
late summer/fall,sun,"Campanula rotundifolia Round-leaved Bellflower Delicate (1-1.5') Moist to dry; Sun/Part sun Blue, bell-shaped flowers over a long season"
late summer/fall,sun,Chelone glabra Turtlehead Upright (3') Moist/wet/ave; Sun/Part Sun Interesting white flowers; Naturalizes in wet areas
late summer/fall,sun,Chelone lyonii Pink Turtlehead Upright (3') Moist/wet/ave; Sun/Part Sun More showy than C. glabra; Not native to the Catskills
late summer/fall,sun,Chrysopsis spp. Golden Asters Varies Average to dry; Sun Tough plants with cheerful blooms
late summer/fall,sun,Coreopsis tripteris Tall Tickseed Upright (3-6') Moist to dry; Sun/Part Sun Late summer color; Deadhead to reduce volunteers
late summer/fall,sun,Delphinium exaltatum Tall Larkspur Upright (3-6') Moist; Part sun More late summer color; Doesn't need staking
late summer/fall,sun,"Eupatorium fistulosum Joe Pye Weed Imposing (3-8') Moist to wet; Sun/Part sun Pinky-purple flowers; butterflies, bees"
late summer/fall,sun,Eupatorium perfoliatum Boneset Upright (2-4') Moist to wet; Sun/Part sun Late summer flowers; Naturalizes in wet areas
late summer/fall,sun,Gentiana clausa Closed Gentian Sprawling (1-1.5') Moist; Part sun Beautiful blue-violet flowers to end the year
late summer/fall,sun,Helenium autumnale Helen's Flower Upright (3-5') Moist to average; Sun Adds a bright splash of color to late-season borders
late summer/fall,sun,Helianthus anuus Sunflower Varied Moist to average; Sun Stagger plantings to extend season into fall
late summer/fall,sun,Helianthus giganteus Swamp Sunflower Upright (6-10') Moist to wet; Sun/Part sun Aggressive; light yellow cultivar Sheila's Sunshine
late summer/fall,sun,Hibiscus moscheutos Swamp Rose Mallow Bushy (4-7') Moist to wet; Sun Indigenous to coastal plain; I prefer it naturalized
late summer/fall,sun,Liatris aspera Rough Blazing Star Upright (3-5') Moist to dry/ Sun A Blazing Star for dry conditions
late summer/fall,sun,Liatris ligulistylis Meadow Blazing Star Upright (3-5') Moist to ave/ Sun Butterfly magnet - Monarchs love it
late summer/fall,sun,Liatris scariosa novae-angliae New England Blazing Star Upright (1-4') Moist to dry/ Sun The only northeastern species
late summer/fall,sun,Lobelia cardinalis Cardinal Flower Upright (2-4') Moist to wet; Sun/Part sun Spectacular crimson flower spikes; Hummingbirds
late summer/fall,sun,Physostegia virginiana Obedient Plant Upright (2-4') Moist to dry; Sun/Part sun Aggressive; Grow in dry conditions to control
late summer/fall,sun,Pycnanthemum incanum Hoary Mountain Mint Upright (3-4') Moist to dry; Sun/Part sun Superior nectar plant for bees & butterflies
late summer/fall,sun,Rudbeckia fulgida fulgida Black-eyed Susan Upright (2-3') Moist to ave/ Sun This variety is the latest bloomer
late summer/fall,sun,Scutellaria incana Downy Skullcap Upright (2-3') Moist to dry; Sun/Part sun Underused group of plants; this one a late-bloomer
late summer/fall,sun,Solidago rugosa Rough Goldenrod Upright (2-5') Moist to dry; Sun/Part sun Doesn't cause hayfever; aggressive
late summer/fall,sun,Spiranthes cernua Nodding Lady's Tresses Clumper (1') Moist to Wet; Sun/Light shade Spikes of crystalline white flowers; Easy to propagate
late summer/fall,sun,Vernonia noveboracensis New York Ironweed Upright (4-8') Moist to wet Easy to grow; good background plant; butterflies
late summer/fall,sun,Acer spicatum Mountain Maple Small tree (20') Some shade Upright flower spikes; Fall foliage
late summer/fall,sun,"Amelanchier laevis Allegheny Serviceberry Small tree (20') Moist, some shade Spring flowers, summer berries; Fall foliage"
late summer/fall,sun,Aronia arbutifolia Red Chokeberry Medium shrub (10') Moist/Adaptable Spring flowers; Red berries; Fall foliage
late summer/fall,sun,Gaylussacia baccata Huckleberry Dwarf shrub (3') Acid; Ericaceous Spring flowers; Summer berries; Fall Foliage
late summer/fall,sun,Hamamelis virginiana Witch Hazel Small tree (20') Fall flowers & foliage; Trouble free
late summer/fall,sun,Ilex verticillata Smooth Winterberry Medium shrub (10') Moist/Adaptable Fall/winter fruits; Pollinator needed
late summer/fall,sun,"Lindera benzoin Spicebush Medium shrub (10') Moist; some shade Berries for birds, Larval food for Spicebush Swallowtail"
late summer/fall,sun,Magnolia virginiana Sweetbay Magnolia Small tree (20') Moist/Adaptable Wonderful fragrance; Rebloom in late summer
late summer/fall,sun,Nyssa sylvatica Black Gum Large Tree (50') Moist/Adaptable Fall foliage; Inconspicuous berries for birds
late summer/fall,sun,Oxydendron arboreum Sourwood Small tree (30') Acid; Ericaceous Four season interest
late summer/fall,sun,Rhus spp. Sumacs Small tree (20') Adaptable; Suckers freely Fall foliage; Berries for birds; Male & Female needed
late summer/fall,sun,Sassafras albidum Sassafras Medium Tree (50') Acid; Moist/Adaptable Fall foliage and berries; Male & female needed
late summer/fall,sun,Vaccinium angustifolium Lowbush Blueberry Groundcover (1') Acid; Ericaceous Spring flowers; Summer berries; Fall Foliage
late summer/fall,sun,Vaccinium corymbosum Highbush Blueberry Medium shrub (8') Acid; Ericaceous Fall Foliage; Red or yellow winter twigs
late summer/fall,sun,Viburnum alnifolium Hobblebush Medium shrub (8') Part shade; Moist Spring flowers; Summer berries; Fall foliage
late summer/fall,sun,Viburnum cassinoides Northern Withe-rod Medium shrub (8') Adaptable Spring flowers; Summer berries; Fall foliage
