﻿Plant_ID,Type,Scientific_Name,Scientific_Name_With_Authors,Common_Name,Family,Genus,Species,Species_Author,Infraspecies,Infraspecies_Author,Native,Naturalized,CoC,Endemic,Persisting,Status_State,Status_US,nwpl_emp,nwpl_ncne,State_Rank,Global_Rank,Category,Habitat,Growth_Habit,Duration
2801,Accepted Name,Agrimonia pubescens,Agrimonia pubescens Wallr.,downy agrimony,Rosaceae,Agrimonia,pubescens,Wallr.,,,Y,,8,N,Y,,,,,S4,G5,Vascular,Dry-mesic to mesic oak-hickory forests and woodlands.,Forb/herb,Perennial
2795,Accepted Name,Agrimonia rostellata,Agrimonia rostellata Wallr.,woodland agrimony,Rosaceae,Agrimonia,rostellata,Wallr.,,,Y,,8,N,Y,Threatened-State,,FACU,FACU,S2,G5,Vascular,Predominately dry-mesic oak-hickory forests and woodlands often in coarse grained or rocky calcareous to circumneutral soils but also openings in forests and rich mesic forests.,Forb/herb,Perennial
2800,Accepted Name,Agrimonia striata,Agrimonia striata Michx.,roadside agrimony,Rosaceae,Agrimonia,striata,Michx.,,,Y,,4,N,Y,,,FACU,FACU,S5,G5,Vascular,"Pastures, successional fields, thickets, floodplain forests, successional and weedy forests, stream banks, and roadsides often in mesic to wet-mesic disturbed soils.",Forb/herb,Perennial
2234,Accepted Name,Agrostis hyemalis,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",southern tickle grass,Poaceae,Agrostis,hyemalis,"(Walter) Britton, Sterns & Poggenb.",,,Y,,3,N,Y,,,FAC,FAC,S4S5,G5,Vascular,,Graminoid,Perennial
2120,Accepted Name,Agrostis perennans,Agrostis perennans (Walter) Tuck.,autumn bent,Poaceae,Agrostis,perennans,(Walter) Tuck.,,,Y,,4,N,Y,,,FACU,FACU,S5,G5,Vascular,Mesic forests sometimes on edges of forested streams.,Graminoid,Perennial
2301,Accepted Name,Agrostis scabra,Agrostis scabra Willd.,northern tickle grass,Poaceae,Agrostis,scabra,Willd.,,,Y,,3,N,Y,,,FAC,FAC,S5,,Vascular,"Floating logs and vegetation mats in ponds, edges of marshes on exposed soils, shale and fine talus slopes in woodlands or openings, and roadsides. Occurs in saturated to dry soils and appears to do best in open soils in full sun.",Graminoid,Perennial
6688,Accepted Name,Allium canadense var. canadense,Allium canadense L. var. canadense,Canada onion,Amaryllidaceae,Allium,canadense,L.,var. canadense,,Y,,4,N,Y,,,FACU,FACU,S5,,Vascular,"Floodplain forests, alluvial thickets, banks of streams, and rich low forests. Sometimes a little weedy. Mostly restricted to rich deep alluvial soils.",Herbaceous,Perennial
1836,Accepted Name,Allium tricoccum,Allium tricoccum Aiton,common wild leek,Amaryllidaceae,Allium,tricoccum,Aiton,,,Y,,8,N,Y,,,FACU,FACU,S5,G5,Vascular,Rich mesic hardwood forests. Often growing with a diverse and thick herbaceous layer. It often forms very large patches.,Forb/herb,Perennial
530,Accepted Name,Alnus incana ssp. rugosa,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,speckled alder,Betulaceae,Alnus,incana,(L.) Moench,ssp. rugosa,(Du Roi) R.T. Clausen,Y,,5,N,Y,,,FACU,FACW,S5,G5T5,Vascular,"Forms dense thickets along drainage channels, edges of streams, edges of lakes, fens, bogs, marshes, and forested swamps. A common wetland shrub that occurs in numerous wetland habitats.","Tree, Shrub",Perennial
540,Accepted Name,Alnus serrulata,Alnus serrulata (Aiton) Willd.,smooth alder,Betulaceae,Alnus,serrulata,(Aiton) Willd.,,,Y,,6,N,Y,,,OBL,OBL,S5,G5,Vascular,"Stream banks, wet thickets, and ditches. A southern species it is most common in southeastern NY.","Tree, Shrub",Perennial
2166,Accepted Name,Alopecurus aequalis var. aequalis,Alopecurus aequalis Sobol. var. aequalis,short-awned foxtail,Poaceae,Alopecurus,aequalis,Sobol.,var. aequalis,,Y,,7,N,Y,,,OBL,OBL,S5,G5,Vascular,"Marshes, swamps, and occasionally wet roadsides. Somewhat local with populations often small.",Graminoid,Perennial
57,Accepted Name,Amaranthus cannabinus,Amaranthus cannabinus (L.) J.D. Sauer,saltmarsh water hemp,Amaranthaceae,Amaranthus,cannabinus,(L.) J.D. Sauer,,,Y,,4,N,Y,,,OBL,OBL,S5,G5,Vascular,Brackish and fresh water tidal marshes.  This species usually occurs upslope from mud flats in denser taller herbaceous dominated tidal marshes.,Forb/herb,Perennial
49,Accepted Name,Amaranthus hybridus ssp. hybridus,Amaranthus hybridus L. ssp. hybridus,green amaranth,Amaranthaceae,Amaranthus,hybridus,L.,ssp. hybridus,,Y,,0,N,Y,,,,,SNR,G5?,Vascular,A very common weed in agricultural fields.  Also in waste places.,Forb/herb,Annual
6328,Accepted Name,Amaranthus retroflexus,Amaranthus retroflexus L.,red-rooted amaranth,Amaranthaceae,Amaranthus,retroflexus,L.,,,Y,,0,N,Y,,,FACU,FACU,S5,,Vascular,Agricultural fields and waste places.,Herbaceous,Annual
3029,Accepted Name,Amauropelta noveboracensis,Amauropelta noveboracensis (L.) S.E. Fawc. & A.R. Sm.,New York fern,Thelypteridaceae,Amauropelta,noveboracensis,(L.) S.E. Fawc. & A.R. Sm.,,,Y,,4,N,Y,,,FAC,FAC,S5,G5,Vascular,Mesic to dry-mesic forests and forest edges. Forming extensive dense populations along with Dennstaedtia punctilobula in sterile soils.,Forb/herb,Perennial
184,Accepted Name,Ambrosia artemisiifolia,Ambrosia artemisiifolia L.,common ragweed,Asteraceae,Ambrosia,artemisiifolia,L.,,,Y,,0,N,Y,,,FACU,FACU,S5,G5,Vascular,"A very weedy native species. Cultivated ground, roadsides, waste places, barnyards, thin dry exposed soils of rocky or forest opening, seasonally exposed cobble bars in streams.  Along roads this plant can be quite thick, although dwarfed, and grows very close to edge of the tarmac.  In native habitats it usually does not get as tall and robust as in cultivated ground. ",Forb/herb,Annual
7071,Accepted Name,Ambrosia trifida,Ambrosia trifida L.,giant ragweed,Asteraceae,Ambrosia,trifida,L.,,,Y,,3,N,Y,,,FAC,FAC,S4,,Vascular,"Successional fields, waste places, and floodplains including floodplain forests.  In New York this species is not as weedy as A. artemisiifolia.",Herbaceous,Annual
2809,Accepted Name,Amelanchier alnifolia,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,low shadbush,Rosaceae,Amelanchier,alnifolia,(Nutt.) Nutt. ex M. Roem.,,,Y,,7,N,Y,,,"  ",FACU,S4,G5,Vascular,"Bluffs, tops of cliffs and rock outcrops, ledges, rocky summits, openings in forests, and less commonly in adjacent forested slopes in thin dry to dry-mesic calcareous soils.",Shrub,Perennial
2798,Accepted Name,Amelanchier arborea,Amelanchier arborea (F. Michx.) Fernald,downy shadbush,Rosaceae,Amelanchier,arborea,(F. Michx.) Fernald,,,Y,,4,N,Y,,,FAC,FACU,S5,G5,Vascular,"A wide variety of hardwood forests, forest edges, hedge rows, bluffs, ledges, roadsides, and occasionally hummocks in swamps.","Tree, Shrub",Perennial
2796,Accepted Name,Amelanchier bartramiana,Amelanchier bartramiana (Tausch) M. Roem.,mountain shadbush,Rosaceae,Amelanchier,bartramiana,(Tausch) M. Roem.,,,Y,,9,N,Y,,,FAC,FAC,S4,G5,Vascular,"Northern hardwood and mixed hardwood-coniferous forests, forest edges, opening in forests, and peatlands. A species of cool habitats predominately occurring in the cooler and more northern parts of New York.","Tree, Shrub",Perennial
2797,Accepted Name,Amelanchier canadensis var. canadensis,Amelanchier canadensis (L.) Medik. var. canadensis,coastal shadbush,Rosaceae,Amelanchier,canadensis,(L.) Medik.,var. canadensis,,Y,,7,N,Y,,,FAC,FAC,S5,G5,Vascular,"Maritime forests (forests adjacent to the Atlantic Ocean or Long Island Sound), dunes, thickets, swamps, and roadsides in dry-mesic to wet or inundated soils on steep slopes or flat areas. Very common and perhaps restricted to maritime areas where it sometimes becomes a dominant species.","Tree, Shrub",Perennial
2778,Accepted Name,Amelanchier intermedia,Amelanchier intermedia Spach,intermediate shadbush,Rosaceae,Amelanchier,intermedia,Spach,,,Y,,7,N,Y,,,FACW,FACW,S5,,Vascular,"Hummocks in forested swamps, shrub swamps, openings in swamps, marshes, wet thickets, and rich fens.",Tree,Perennial
2803,Accepted Name,Amelanchier laevis,Amelanchier laevis Wiegand,smooth shadbush,Rosaceae,Amelanchier,laevis,Wiegand,,,Y,,4,N,Y,,,,,S5,G4G5Q,Vascular,"Forests, forest edges, openings in forests, thickets, bluffs, rock outcrops, ledges, hummocks in swamps, and roadsides.","Tree, Shrub",Perennial
6541,Accepted Name,Amphicarpaea bracteata,Amphicarpaea bracteata (L.) Fernald,hog peanut,Fabaceae,Amphicarpaea,bracteata,(L.) Fernald,,,Y,,5,N,Y,,,FAC,FAC,S5,,Vascular,Mesic hardwood forests and forested thickets. Sometimes occurs in wet-mesic soils but usually more of a mesic soil species.,Vine,Perennial
187,Accepted Name,Anaphalis margaritacea,Anaphalis margaritacea (L.) Benth. & Hook. f.,pearly everlasting,Asteraceae,Anaphalis,margaritacea,(L.) Benth. & Hook. f.,,,Y,,2,N,Y,,,UPL,FACU,S5,G5,Vascular,"Much more common in northern parts of the state.  Cut forests, edges of forests, roadsides, and successional old fields often in thin sterile soils.",Forb/herb,Perennial
558,Accepted Name,Anchistea virginica,Anchistea virginica (L.) C. Presl,Virginia chain fern,Blechnaceae,Anchistea,virginica,(L.) C. Presl,,,Y,,9,N,Y,,,OBL,OBL,S5,G5,Vascular,"Acid bogs, swamps, edges of ponds, and wet thickets. In at least parts of NY this species is very limited in distribution. Where it occurs it can form large stands.",Forb/herb,Perennial
564,Accepted Name,Andersonglossum boreale,"Andersonglossum boreale (Fernald) Jim. Mejías, J.I. Cohen & Naczi","northern wild comfrey, northern hound’s tongue",Boraginaceae,Andersonglossum,boreale,"(Fernald) Jim. Mejías, J.I. Cohen & Naczi",,,Y,,8,N,Y,Endangered-State,,,,S1S2,G5T4T5,Vascular,"Openings and clearings in forests, edges of forests, and disturbed soils in rich sites.",Forb/herb,Perennial
1330,Accepted Name,Andromeda polifolia var. latifolia,Andromeda polifolia L. var. latifolia Aiton,bog rosemary,Ericaceae,Andromeda,polifolia,L.,var. latifolia,Aiton,Y,,10,N,Y,,,OBL,OBL,S5,G5T5,Vascular,"Acidic bogs. Often growing mixed with other shrubs and forming a dense low shrub thicket in bogs. Also growing on hummocks or rises in bogs in small shrub ""islands"".",Shrub,Perennial
2321,Accepted Name,Andropogon gerardi,Andropogon gerardi Vitman,big bluestem,Poaceae,Andropogon,gerardi,Vitman,,,Y,,8,N,Y,,,FAC,FACU,S5,G5,Vascular,"Ice and river scour shores of medium to large sized rivers, dry open habitats including rocky summits, open hillsides in woodlands and forests, bluffs, sandy fields, and roadsides. It is sometimes planted on roadsides.",Graminoid,Perennial
2392,Accepted Name,Andropogon virginicus var. virginicus,Andropogon virginicus L. var. virginicus,broom sedge bluestem,Poaceae,Andropogon,virginicus,L.,var. virginicus,,Y,,4,N,Y,,,FACU,FACU,S4,G5,Vascular,,Graminoid,Perennial
2577,Accepted Name,Anemone canadensis,Anemone canadensis L.,Canada anemone,Ranunculaceae,Anemone,canadensis,L.,,,Y,,5,N,Y,,,FACW,FACW,S5,G5,Vascular,"Low forests and thickets, edges of lakes and streams, and fens. Predominately in mesic to wet calcareous soils but occasionally in drier situations.",Forb/herb,Perennial
2580,Accepted Name,Anemone quinquefolia var. quinquefolia,Anemone quinquefolia L. var. quinquefolia,wood anemone,Ranunculaceae,Anemone,quinquefolia,L.,var. quinquefolia,,Y,,7,N,Y,,,FACU,FACU,S5,G5,Vascular,"Mesic thickets, forests, forest edges, and edges of streams often in valley bottoms.",Forb/herb,Perennial
2582,Accepted Name,Anemone virginiana,Anemone virginiana L.,"tall anemone, thimbleweed",Ranunculaceae,Anemone,virginiana,L.,,,Y,,5,N,Y,,,FACU,FACU,S5,G5T5,Vascular,"Thickets, vegetated roadsides, dry-mesic forests and woodlands, openings in forests, and stream sides in dry to mesic soils.",Forb/herb,Perennial
107,Accepted Name,Angelica atropurpurea,Angelica atropurpurea L.,purple-stemmed angelica,Apiaceae,Angelica,atropurpurea,L.,,,Y,,4,N,Y,,,OBL,OBL,S5,G5,Vascular,"Banks of streams and rivers, marshes, and open swamps.  This species prefers rich sites and often occurs near or adjacent to streams.",Forb/herb,Perennial
110,Accepted Name,Angelica venenosa,Angelica venenosa (J. Greenway) Fernald,"hairy angelica, deadly angelica",Apiaceae,Angelica,venenosa,(J. Greenway) Fernald,,,Y,,8,N,Y,Rare-State,,,,S1,G5,Vascular,,Forb/herb,Perennial
6947,Accepted Name,Antennaria howellii ssp. canadensis,Antennaria howellii Greene ssp. canadensis (Greene) R.J. Bayer,Canada pussytoes,Asteraceae,Antennaria,howellii,Greene,ssp. canadensis,(Greene) R.J. Bayer,Y,,2,N,Y,,,,,SNR,,Vascular,"Openings in forests, woodlands, edges of forests, dry roadsides, successional fields, pastures, and dry river banks.",Herbaceous,Perennial
6948,Accepted Name,Antennaria howellii ssp. neodioica,Antennaria howellii Greene ssp. neodioica (Greene) R.J. Bayer,small pussytoes,Asteraceae,Antennaria,howellii,Greene,ssp. neodioica,(Greene) R.J. Bayer,Y,,2,N,Y,,,,,SNR,,Vascular,"Open forests and woodlands, ledges, fine shale talus slopes, gravelly roadsides, and fields over thin soils.",Herbaceous,Perennial
188,Accepted Name,Antennaria neglecta,Antennaria neglecta Greene,field pussytoes,Asteraceae,Antennaria,neglecta,Greene,,,Y,,2,N,Y,,,UPL,UPL,S5,G5,Vascular,"Banks of dirt roads, edges of forests, and open forests on thin soils.",Forb/herb,Perennial
6949,Accepted Name,Antennaria parlinii ssp. fallax,Antennaria parlinii Fernald ssp. fallax (Greene) R.J. Bayer & Stebbins,deceitful pussytoes,Asteraceae,Antennaria,parlinii,Fernald,ssp. fallax,(Greene) R.J. Bayer & Stebbins,Y,,3,N,Y,,,,,SNR,,Vascular,"Gravel roadsides, fields on thin soils.",Herbaceous,Perennial
6950,Accepted Name,Antennaria parlinii ssp. parlinii,Antennaria parlinii Fernald ssp. parlinii,Parlin’s pussytoes,Asteraceae,Antennaria,parlinii,Fernald,ssp. parlinii,,Y,,3,N,Y,,,,,SNR,,Vascular,Open mesic forested slopes with herbaceous vegetation low.,Herbaceous,Perennial
201,Accepted Name,Antennaria plantaginifolia,Antennaria plantaginifolia (L.) Hook.,plantain-leaved pussytoes,Asteraceae,Antennaria,plantaginifolia,(L.) Hook.,,,Y,,4,N,Y,,,,,S5,G5,Vascular,"Thin or open deciduous forests, edges of forests, woodlands, rocky summits, road banks, and successional fields.  In mesic to dry soils that are thin or where the herbaceous vegetation is not tall or dense.",Herbaceous,Perennial
2332,Accepted Name,Anthoxanthum nitens ssp. nitens,Anthoxanthum nitens (Weber) Y. Schouten & Veldkamp ssp. nitens,vanilla sweet grass,Poaceae,Anthoxanthum,nitens,(Weber) Y. Schouten & Veldkamp,ssp. nitens,,Y,,8,N,Y,,,FACW,FACW,S5,,Vascular,Upper edges of salt marshes.,Graminoid,Perennial
2047,Accepted Name,Aphyllon uniflorum,Aphyllon uniflorum (L.) Torr. & A. Gray,one-flowered broomrape,Orobanchaceae,Aphyllon,uniflorum,(L.) Torr. & A. Gray,,,Y,,4,N,Y,,,FACU,UPL,S4,G5,Vascular,Mesic forests and fields. Parasitic on various plants. Somewhat local in distribution and populations are often small.,Forb/herb,Annual
1398,Accepted Name,Apios americana,Apios americana Medik.,groundnut,Fabaceae,Apios,americana,Medik.,,,Y,,5,N,Y,,,FACW,FACW,S5,G5,Vascular,"Floodplain forests, thickets, stream and ditch edges, and edges of marshes. Often in open sites with soils that are at least seasonally wet-mesic but dry out later in the season.","Vine, Forb/herb",Perennial
2037,Accepted Name,Aplectrum hyemale,Aplectrum hyemale (Muhl. ex Willd.) Nutt.,"puttyroot, Adam and Eve",Orchidaceae,Aplectrum,hyemale,(Muhl. ex Willd.) Nutt.,,,Y,,8,N,Y,Endangered-State,,FAC,FAC,S1,G5,Vascular,Mesic forests. Clearly declining in New York.,Forb/herb,Perennial
123,Accepted Name,Apocynum androsaemifolium,Apocynum androsaemifolium L.,spreading dogbane,Apocynaceae,Apocynum,androsaemifolium,L.,,,Y,,2,N,Y,,,FACU,UPL,S5,G5,Vascular,"Roadsides, fields, thickets, often in thin soils.",Forb/herb,Perennial
119,Accepted Name,Apocynum androsaemifolium × A. cannabinum = A. ×floribundum,Apocynum androsaemifolium × A. cannabinum = A. ×floribundum Greene,hybrid dogbane,Apocynaceae,Apocynum,androsaemifolium × A. cannabinum = A. ×floribundum,Greene,,,Y,,,N,Y,,,,,SNA,GNA,Vascular,,Forb/herb,Perennial
122,Accepted Name,Apocynum cannabinum,Apocynum cannabinum L.,Indian hemp,Apocynaceae,Apocynum,cannabinum,L.,,,Y,,2,N,Y,,,FACU,FAC,S5,G5,Vascular,"Dry thin forests, rocky openings, fields, thickets, gravely stream banks, and roadsides. It is also occasionally found in marshes.",Forb/herb,
2583,Accepted Name,Aquilegia canadensis,Aquilegia canadensis L.,"wild columbine, red columbine",Ranunculaceae,Aquilegia,canadensis,L.,,,Y,,5,N,Y,,,FAC,FACU,S5,G5,Vascular,"Cliffs, ledges, talus slopes, on or adjacent to forested rock outcrops, and edges of paths and dirt roads through forests often associated with calcareous soils and/or bedrock",Forb/herb,Perennial
615,Accepted Name,Arabidopsis lyrata ssp. lyrata,Arabidopsis lyrata (L.) O'Kane & Al-Shehbaz ssp. lyrata,lyre-leaved rock cress,Brassicaceae,Arabidopsis,lyrata,(L.) O'Kane & Al-Shehbaz,ssp. lyrata,,Y,,8,N,Y,,,FACU,FACU,S5,G5,Vascular,"Ledges, rock outcrops, and woodlands. Mostly on dry rocks or thin dry soils over bedrock. Sometimes in more mesic conditions.",Forb/herb,Biennial
6426,Accepted Name,Arabis pycnocarpa,Arabis pycnocarpa M. Hopkins,hairy rock cress,Brassicaceae,Arabis,pycnocarpa,M. Hopkins,,,Y,,9,N,Y,,,FACU,FACU,S5?,,Vascular,"Dry thin forests, woodlands, and bluffs often over calcareous soils.",Herbaceous,Biennial
6617,Accepted Name,Aralia hispida,Aralia hispida Vent.,bristly sarsaparilla,Araliaceae,Aralia,hispida,Vent.,,,Y,,6,N,Y,,,,,S4,,Vascular,"Open rocky summits and ridges, forest clearings, roadsides, and disturbed ground mostly on acidic soils and rocks.  This species appears to respond well to disturbances including fire and logging.",Subshrub,Perennial
6616,Accepted Name,Aralia nudicaulis,Aralia nudicaulis L.,wild sarsaparilla,Araliaceae,Aralia,nudicaulis,L.,,,Y,,6,N,Y,,,FACU,FACU,S5,,Vascular,A forest understory herbaceous plant it occurs in a wide variety of dry to mesic forest types although it usually is absent or sparse in our deepest and richest soils.,Herbaceous,Perennial
6615,Accepted Name,Aralia racemosa,Aralia racemosa L.,spikenard,Araliaceae,Aralia,racemosa,L.,,,Y,,7,N,Y,,,FACU,FACU,S5,,Vascular,"Ravines, ledges, shaded roadsides, thickets, and forest clearings often but not restricted to rich sites.  It usually occurs as thinly scattered plants and appears to do well in slightly disturbed areas.  Ledges and partially shaded shale talus in ravines are preferred sites.",Subshrub,Perennial
